sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
1049,E,2,6.0,baseline,0,1,0,0,0,0,0,0.01077001797966659,0.01077001797966659,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1049,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010469986591488123,0.010469986591488123,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1050,E,2,6.0,baseline,0,1,0,0,0,0,0,0.010410003596916795,0.010410003596916795,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1050,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.01035997411236167,0.01035997411236167,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1051,E,2,6.0,baseline,1,1,0,0,1,1,0,37.54325400223024,37.54325400223024,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[47, 44, 58, 40, 46, 22, 59, 52, 62, 50]",[],0,0,0,0,0,0,0,0
1051,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.4673499972559512,0.022088992409408092,0.0,0,18,1,1,0.9940268993377686,0.00012690850417129695,ai,ai_success,standard,[1],"[0, 1, 2]","[47, 12, 50, 40, 20, 44, 29, 81, 58, 43]","[0.0003093642881140113, 0.9979876279830933, 0.0015372083289548755, 2.7190417313249782e-05, 1.1642263416433707e-05, 0.00012690850417129695]",1200,4,0,0,0,1,0,0
1052,E,2,6.0,baseline,0,1,0,0,0,0,0,0.014429999282583594,0.014429999282583594,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1052,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011049996828660369,0.011049996828660369,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1053,E,2,6.0,baseline,0,1,0,0,0,0,0,0.010860007023438811,0.010860007023438811,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1053,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010410003596916795,0.010410003596916795,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1054,E,2,6.0,baseline,0,1,0,0,0,0,0,0.010540010407567024,0.010540010407567024,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1054,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010360003216192126,0.010360003216192126,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1055,E,2,6.0,baseline,1,1,0,0,2,2,0,37.31016599340364,37.31016599340364,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[81, 71, 76, 86, 69, 64, 65, 77, 73, 67]",[],0,0,0,0,0,0,0,0
1055,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5304099943023175,0.02248998498544097,0.0,0,18,1,1,0.9969959259033203,0.00013517425395548344,ai,ai_success,standard,[1],"[0, 1, 2]","[71, 81, 76, 86, 65, 69, 64, 73, 101, 68]","[0.000514435232616961, 0.9956561326980591, 0.00360425328835845, 6.071117240935564e-05, 2.9165035812184215e-05, 0.00013517425395548344]",1200,4,0,0,0,1,0,0
1056,E,2,6.0,baseline,1,1,0,0,4,4,0,37.365494994446635,37.365494994446635,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[119, 91, 90, 109, 103, 107, 36, 46, 33, 118]",[],0,0,0,0,0,0,0,0
1056,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5272599994204938,0.022299005649983883,0.0,0,18,1,1,0.9955126643180847,0.00012433723895810544,ai,ai_success,standard,[1],"[0, 1, 2]","[90, 119, 91, 21, 41, 107, 109, 103, 118, 101]","[0.0003620955685619265, 0.9976202845573425, 0.0018447062466293573, 3.1013514671940356e-05, 1.7488944649812765e-05, 0.00012433723895810544]",1200,4,0,0,0,1,0,0
1057,E,2,6.0,baseline,0,1,0,0,0,0,0,0.014839984942227602,0.014839984942227602,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1057,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011099997209385037,0.011099997209385037,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1058,E,2,6.0,baseline,0,1,0,0,0,0,0,0.010599993402138352,0.010599993402138352,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1058,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.01042999792844057,0.01042999792844057,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1059,E,2,6.0,baseline,1,1,0,0,8,8,0,37.32240499812178,37.32240499812178,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[17, 117, 6, 24, 19, 41, 64, 38, 40, 15]",[],0,0,0,0,0,0,0,0
1059,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5278799983207136,0.021460000425577164,0.0,0,18,1,1,0.9923099279403687,0.00019828577933367342,ai,ai_success,standard,[1],"[0, 1, 2]","[64, 31, 117, 86, 16, 55, 24, 15, 7, 17]","[0.0003142605710308999, 0.9972357153892517, 0.002181180054321885, 4.424231519806199e-05, 2.6214176614303142e-05, 0.00019828577933367342]",1200,4,0,0,0,1,0,0
1060,E,2,6.0,baseline,1,1,0,0,1,1,0,36.804378003580496,36.804378003580496,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[127, 83, 66, 69, 71, 79, 111, 73, 68, 84]",[],0,0,0,0,0,0,0,0
1060,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.560750009957701,0.021810003090649843,0.0,0,18,1,1,0.996708869934082,0.00011930368782486767,ai,ai_success,standard,[1],"[0, 1, 2]","[127, 83, 66, 79, 69, 111, 7, 68, 71, 73]","[0.0004711658984888345, 0.9976252913475037, 0.001732383156195283, 3.203332016710192e-05, 1.9917901227017865e-05, 0.00011930368782486767]",1200,4,0,0,0,1,0,0
1061,E,2,6.0,baseline,1,1,0,0,1,1,0,37.406965013360605,37.406965013360605,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[50, 77, 4, 76, 52, 64, 2, 70, 75, 71]",[],0,0,0,0,0,0,0,0
