sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
648,E,2,6.0,strong_symbolic,3,1,0,0,12,12,0,159.53550790436566,159.53550790436566,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[91, 105, 7, 98, 79, 81, 90, 48, 69, 109]",[],0,0,0,0,0,0,0,0
649,E,2,6.0,baseline,0,1,0,0,0,0,0,0.018029939383268356,0.018029939383268356,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
649,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010610092431306839,0.010610092431306839,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
649,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.009059906005859375,0.009059906005859375,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
650,E,2,6.0,baseline,1,1,0,0,1,1,0,33.03451091051102,33.03451091051102,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[63, 46, 113, 54, 107, 28, 48, 120, 59, 23]",[],0,0,0,0,0,0,0,0
650,E,2,6.0,nsgrand,1,1,0,0,1,1,0,2.0875639747828245,0.022239983081817627,0.0,0,18,1,1,0.996956467628479,2.86710182990646e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[63, 113, 120, 48, 107, 95, 90, 94, 87, 66]","[0.0003031246305909008, 0.9987529516220093, 0.0008849029545672238, 1.31975948534091e-05, 1.7157823094748892e-05, 2.86710182990646e-05]",1200,4,0,0,0,1,0,0
650,E,2,6.0,strong_symbolic,1,1,0,0,1,1,0,159.08639202825725,159.08639202825725,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[63, 46, 113, 54, 107, 28, 48, 120, 59, 23]",[],0,0,0,0,0,0,0,0
651,E,2,6.0,baseline,0,1,0,0,0,0,0,0.017490005120635033,0.017490005120635033,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
651,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.01035979948937893,0.01035979948937893,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
651,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008950009942054749,0.008950009942054749,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
